# page	repo path	line	text of that line when pinned	line before	line after
# Written by tools/check-site-pages.py --pin. Do not edit by hand.
_facts/README	packages/layout/src/box.js	220	      capacity: parseInt(el.attrs['data-slot-capacity'] ?? '63', 10),	      name,	    };
_facts/README	runtime/ps2ui.c	1397	static uint32_t slot_index_by_name(const ps2ui_ctx *ctx, const char *name)		{
_facts/authoring/crt-linter	README.md	212	## Supported CSS		
_facts/authoring/crt-linter	packages/baker/ps2ui_bake/check.py	520	def _declared_count(rep, n, declared, flag, noun, surplus_text, clean_text):		    """Report a count that was declared on the command line.
_facts/authoring/crt-linter	packages/baker/ps2ui_bake/check.py	553	def check_crt(uib, rep: Report, canvas, allow_dead: int = 0,		              allow_hairline: int = 0) -> None:
_facts/authoring/crt-linter	packages/baker/ps2ui_bake/check.py	749	    failed = rep.errors + (rep.warnings if args.strict else 0)		    verdict = "PASS" if failed == 0 else "FAIL"
_facts/authoring/crt-linter	packages/baker/ps2ui_bake/project.py	51	    "minFontSize": None,	    "strict": False,	    "focusWrap": False,
_facts/authoring/crt-linter	packages/baker/ps2ui_bake/ps2ui.py	189	        if proj.min_font_size is not None:	            cmd += ["--strict"]	            cmd += ["--min-font-size", str(proj.min_font_size)]
_facts/authoring/crt-linter	packages/baker/ps2ui_bake/ps2ui.py	416	        if proj.strict:	            cmd += ["--display-aspect", proj.display_aspect]	            cmd += ["--strict"]
_facts/authoring/crt-linter	packages/baker/ps2ui_bake/serve.py	375	        warnings = []		        for screen in proj.screens:
_facts/authoring/crt-linter	packages/baker/ps2ui_bake/serve_page.html	136	    <button id="btnSafe" title="Title-safe area — 10% inset, the CRT overscan budget">Safe area</button>	    <button id="btnGrid" title="8px grid">Grid</button>	    <button id="btnFull" title="Screen only (F, Esc to leave)">Full screen</button>
_facts/authoring/crt-linter	packages/baker/ps2ui_bake/serve_page.html	320	  if (S.safe) {	  }	    const ix = Math.round(w * 0.1), iy = Math.round(h * 0.1);
_facts/authoring/crt-linter	packages/baker/ps2ui_bake/serve_page.html	517	function buildWarnings() {		  const d = $('diags'), ws = S.st.warnings || [];
_facts/authoring/crt-linter	packages/layout/bin/ps2ui-layout.js	53	    case '--strict': strict = true; break;	    case '--focus-wrap': focusWrap = true; break;	    // A DELIBERATE FLOOR, WRITTEN DOWN. The default 14px is the couch
